stock_code,year,name,industry,revenue,net_income,roe,gross_margin,total_assets,fixed_assets,size_log,roa
688091,2019,上海谊众,化学制药,,-315224387.22,-141.07,,,,,
301057,2019,汇隆新材,化学纤维,655929437.2,54767216.69,27.74,19.5123334449,,,,
600955,2019,维远股份,化学原料,3992693777.41,215380910.32,19.66,12.7840127264,,,,
301065,2019,本立科技,化学制药,559284185.1,73123614.0,21.37,22.3035396393,,,,
002098,2019,浔兴股份,纺织制造,1919149402.77,52898252.27,8.27,37.2478181974,,,,
920077,2019,吉林碳谷,化学纤维,1062850020.01,-30047663.64,-26.32,2.9880097485,,,,
002262,2019,恩华药业,化学制药,4149312426.1,663308783.48,20.22,62.6149986959,,,,
605580,2019,恒盛能源,电力,474047345.66,95081901.31,34.8,31.7360864136,,,,
600812,2019,华北制药,化学制药,11457480504.85,172147389.25,3.09,41.2031773208,,,,
300305,2019,裕兴股份,塑料,874560326.29,94368340.12,6.38,18.7597895432,,,,
000937,2019,冀中能源,煤炭开采,22527153168.52,782887735.34,4.09,22.7075645029,,,,
002256,2019,兆新股份,电力,431282903.18,-307304815.77,-17.5,37.9020919458,,,,
605589,2019,圣泉集团,塑料,5881683278.67,471308361.06,10.21,29.9486278904,,,,
920566,2019,梓橦宫,化学制药,352028217.39,58541833.48,18.12,78.1768189125,,,,
301036,2019,双乐股份,化学制品,1135610639.8,85167839.76,10.81,22.070474827,,,,
688718,2019,唯赛勃,塑料,360583583.57,66304360.59,16.74,40.5149771749,,,,
605507,2019,国邦医药,化学制药,3802036233.07,314942608.89,17.94,25.9386714935,,,,
001212,2019,中旗新材,装修建材,528583584.97,108715822.33,22.57,36.7017312089,637642900.0,213562862.03,20.273288966740203,0.17049640532341848
002064,2019,华峰化学,化学纤维,13785247595.36,1841482202.93,26.83,24.0187116895,,,,
002015,2019,协鑫能科,电力,10898835155.37,553703505.72,12.99,20.4438756442,,,,
300478,2019,杭州高新,塑料,697250232.16,-292511942.66,-72.26,8.0676786877,,,,
688357,2019,建龙微纳,化学制品,405971995.48,86003382.24,28.11,38.8875092735,,,,
301037,2019,保立佳,化学制品,2054353842.05,71902232.26,19.11,21.6754463552,,,,
688799,2019,华纳药厂,化学制药,824648894.37,116011039.14,23.1,70.4320056857,,,,
688087,2019,英科再生,塑料,1273001355.05,95200522.95,15.14,28.7644033808,,,,
002042,2019,华孚时尚,纺织制造,15886871683.43,402294451.12,6.07,7.8599261677,,,,
605020,2019,永和股份,化学制品,1882872178.57,139022620.66,12.42,23.4430374326,,,,
605162,2019,新中港,电力,649996923.16,156249706.96,34.08,38.9712611867,,,,
001210,2019,金房能源,电力,713330277.93,100849984.7,23.65,23.6736912584,,,,
600403,2019,大有能源,煤炭开采,5902613243.41,76862851.24,0.13,27.0319553549,,,,
002669,2019,康达新材,化学制品,1066074423.43,139961738.71,6.8,37.5721583256,,,,
688690,2019,纳微科技,化学制药,129700910.89,23426067.43,10.62,78.3793017662,,,,
605011,2019,杭州热电,电力,2002067484.62,204263673.89,16.06,15.7658133632,,,,
301019,2019,宁波色母,塑料,405424807.44,79313851.89,32.88,35.0099989999,,,,
000692,2019,惠天热电,电力,1850660645.78,-115497722.0,-8.8,-0.6933615144,,,,
900904,2019,神奇B股,化学制药,1927593214.0,83974764.44,3.25,63.1712763853,3556129011.94,419542249.08,21.99193843401308,0.02361409390886768
600613,2019,神奇制药,化学制药,1927593214.0,83974764.44,3.25,63.1712763853,,,,
688199,2019,久日新材,化学制品,1334866139.24,248687778.77,21.6,37.4330358604,,,,
301010,2019,晶雪节能,装修建材,653705124.18,63506657.11,13.54,25.9142454165,,,,
600905,2019,三峡能源,电力,8956644467.55,2839735773.59,7.08,56.7422937017,,,,
002694,2019,顾地科技,装修建材,1640363485.98,10677564.93,1.09,21.2416208492,,,,
605028,2019,世茂能源,电力,263564939.94,85511224.7,31.5,58.6499793619,,,,
601599,2019,浙文影业,纺织制造,3035439712.77,-965747540.66,-46.1,18.4731126713,,,,
600165,2019,ST宁科,化学制品,265756858.64,-44952125.08,-5.019,1.0774947953,,,,
001207,2019,联科科技,橡胶,971524851.04,66153299.6,17.32,18.3024377647,,,,
688625,2019,呈和科技,化学制品,392132616.64,89276918.34,44.86,44.1617382899,,,,
300180,2019,华峰超纤,塑料,3240344131.19,158368065.45,3.05,26.2918007121,,,,
601699,2019,潞安环能,煤炭开采,26791159017.4,2378709408.98,9.5,38.7386510962,,,,
002455,2019,百川股份,化学制品,2574641104.73,64718353.87,4.9,10.5441241582,,,,
002145,2019,钛能化学,化学原料,3376980217.3,430939894.9,12.97,31.7859045854,,,,
688269,2019,凯立新材,化学制品,708435140.1,65330722.55,24.53,17.0117144123,,,,
600310,2019,广西能源,电力,26461703884.56,151788266.59,7.74,4.587480548,,,,
300995,2019,奇德新材,塑料,269305907.78,51226752.02,20.56,35.34386439,,,,
688359,2019,三孚新科,电子化学品Ⅱ,221360904.42,35264152.7,16.57,41.3733982656,,,,
605189,2019,富春染织,纺织制造,1397622283.9,91053123.27,14.07,15.5513178535,,,,
301003,2019,江苏博云,塑料,381517378.71,77194480.16,43.76,34.1839105969,,,,
002562,2019,兄弟科技,化学制品,1257717108.48,43825506.17,1.91,29.3240203455,,,,
688076,2019,ST诺泰,化学制药,371530570.22,48610494.44,6.04,53.3680643729,,,,
605090,2019,九丰能源,燃气Ⅱ,10021287911.37,366753605.14,20.4,10.0137685733,,,,
002742,2019,*ST三圣,化学制药,3180117049.92,124835098.47,8.18,20.056895905,,,,
920726,2019,朱老六,调味发酵品Ⅱ,189333660.26,24546551.36,12.55,32.001138734,,,,
300221,2019,银禧科技,塑料,1511471027.0,10083553.21,0.86,12.8276636718,,,,
300434,2019,金石亚药,化学制药,1005606188.19,120334377.62,4.45,64.4553912011,,,,
900906,2019,中毅达B,化学原料,199390004.52,25983997.69,-5.52,23.01007378,,,,
688157,2019,松井股份,化学制品,455138283.31,92873689.04,26.17,54.3566148492,,,,
605177,2019,东亚药业,化学制药,988087656.7,168328907.75,21.38,34.9966535272,,,,
603863,2019,松炀资源,造纸,583341266.4,90039065.35,10.65,22.0915858457,,,,
603822,2019,ST嘉澳,化学制品,1075440212.33,62183107.21,8.05,16.5011101096,,,,
601225,2019,陕西煤业,煤炭开采,73732076716.23,11640259501.54,21.27,40.833831069,,,,
601208,2019,东材科技,塑料,1735366951.57,72871524.03,3.14,21.3409852305,,,,
600917,2019,重庆燃气,燃气Ⅱ,7033452755.31,402203076.6,9.88,11.9799732439,,,,
600900,2019,长江电力,电力,49874086874.95,21543493635.57,14.77,62.5110046209,,,,
600821,2019,金开新能,电力,496198676.14,-197934375.66,-41.25,53.6432595368,,,,
600793,2019,宜宾纸业,造纸,1601188962.71,12352896.31,2.29,10.8589014663,,,,
600610,2019,中毅达,化学原料,199390004.52,25983997.69,-5.52,23.01007378,,,,
600567,2019,山鹰国际,造纸,23240947723.23,1362183452.27,9.95,19.0636477741,,,,
600500,2019,中化国际,化学制品,53229291609.28,476278057.17,4.11,12.4234749087,,,,
600226,2019,亨通股份,电力,805256358.25,-655870846.89,-16.62,35.0484241097,,,,
600167,2019,联美控股,电力,3396211961.13,1591538410.04,23.67,54.6206484014,,,,
600121,2019,郑州煤电,煤炭开采,3595737752.85,-919478548.99,-28.79,25.3568085695,,,,
600052,2019,东望时代,电力,101418095.5,1225185351.41,40.59,75.937680855,,,,
002898,2019,*ST赛隆,化学制药,293466984.61,27483210.02,4.14,74.2529199084,,,,
002675,2019,东诚药业,化学制药,2992761012.16,154714673.84,3.65,59.3512106133,,,,
002666,2019,德联集团,化学制品,3850912775.55,218457710.76,7.33,16.2021924857,,,,
002591,2019,恒大高新,化学制品,378175054.0,84556117.75,6.92,51.4776649546,,,,
002361,2019,神剑股份,塑料,2078690550.27,125191047.31,6.85,21.0035522788,,,,
000936,2019,华西股份,化学纤维,3186874679.42,561843136.45,11.59,6.9311995058,,,,
000881,2019,中广核技,化学制品,7021621593.7,102681776.03,1.8,15.3601148214,,,,
000850,2019,华茂股份,纺织制造,2978917084.94,197696542.01,4.72,13.1594338181,,,,
000669,2019,ST金鸿,燃气Ⅱ,3727926100.75,-1313582622.34,-70.85,10.2526395894,,,,
000593,2019,德龙汇能,燃气Ⅱ,1037957543.04,41303050.87,4.39,20.1433249175,,,,
000571,2019,新大洲A,煤炭开采,1439198672.23,-613209366.32,-60.2,24.1875577526,,,,
000537,2019,绿发电力,电力,22986765175.17,3142121542.37,25.88,38.3062367005,,,,
688268,2019,华特气体,电子化学品Ⅱ,843990066.84,72594659.69,12.44,35.3755435414,,,,
688266,2019,泽璟制药,化学制药,0.0,-461877238.6,-402.11,,,,,
605318,2019,法狮龙,装修建材,480008871.27,84671524.86,22.26,36.0273224164,,,,
605055,2019,迎丰股份,纺织制造,903827046.08,113981934.56,18.92,25.3082058035,,,,
603737,2019,三棵树,装修建材,5972263435.78,406143739.38,23.61,38.8340111907,,,,
603612,2019,索通发展,非金属材料Ⅱ,4371643482.81,86445154.66,3.48,13.4559782558,,,,
603378,2019,亚士创能,装修建材,2424990619.03,114182277.97,8.41,33.1218058489,,,,
603299,2019,苏盐井神,化学原料,4188669324.44,261687636.89,6.85,32.8223715006,,,,
601985,2019,中国核电,电力,47261491749.69,4757609715.32,9.66,42.2661254193,,,,
601001,2019,晋控煤业,煤炭开采,11358049184.9,897462176.08,15.06,55.2909805602,,,,
600886,2019,国投电力,电力,42433460265.79,4755460882.37,11.66,39.0770955308,,,,
600448,2019,华纺股份,纺织制造,3082769791.71,11599921.15,0.79,13.155542047,,,,
600333,2019,长春燃气,燃气Ⅱ,1733320223.81,9582825.13,0.46,31.9323598408,,,,
600319,2019,亚星化学,化学原料,1655120196.28,29217010.9,56.86,13.2071167823,,,,
600236,2019,桂冠电力,电力,9043440069.26,2113932801.37,14.66,49.1642934397,,,,
300980,2019,祥源新材,塑料,284276351.64,55443305.5,34.52,43.5453877981,,,,
300966,2019,共同药业,化学制药,464801920.27,72996358.19,16.41,28.3321460384,,,,
300530,2019,领湃科技,化学制品,173499780.39,29491489.76,5.68,32.7526624197,,,,
300255,2019,常山药业,化学制药,2071479809.92,225285377.1,8.61,73.0939038662,,,,
300225,2019,*ST金泰,化学制品,813501962.57,30080764.63,3.36,24.5283498481,,,,
300199,2019,翰宇药业,化学制药,614191475.23,-884772394.21,-31.95,79.5304749267,,,,
300109,2019,新开源,化学制品,924426291.73,122796226.77,5.69,47.642992469,,,,
002793,2019,罗欣药业,化学制药,7588790576.54,633950170.65,19.14,63.1072625645,,,,
002753,2019,永东股份,橡胶,2856035738.51,91035991.73,5.8,13.3941975835,,,,
002650,2019,ST加加,调味发酵品Ⅱ,2039752817.05,162490290.28,7.2,27.0130617786,,,,
002617,2019,露笑科技,电力,2452133315.73,36169888.13,1.31,22.4245229691,,,,
002507,2019,涪陵榨菜,调味发酵品Ⅱ,1989593123.12,605141874.33,22.65,58.6115439016,,,,
002495,2019,佳隆股份,调味发酵品Ⅱ,296593418.13,27977931.19,2.38,43.9373211522,,,,
002440,2019,闰土股份,化学制品,6513168920.4,1369965968.02,16.46,35.5245068889,,,,
