序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,report_date,year
97,874217,锐牛股份,1.34,307639903.89,6.9427077306,,68200278.78,65.3542448353,,3.75,42.69,1.185698710784,41.5683756798,,2025-12-31,20221231,2022
98,874181,睿信电器,0.96,367350602.4,,,57327596.14,,,7.89564423,41.8,2.607673751905,21.4564767051,,2025-12-31,20221231,2022
99,874159,邦特科技,0.99,733905759.48,,,47882917.82,,,5.786966961338,14.94,1.54148734145,14.7837722676,,2025-12-31,20221231,2022
100,873464,皇裕精密,0.45,700450724.02,,,43019897.13,,,2.206665486246,33.23,0.200344550451,22.1778467953,,2025-12-31,20221231,2022
101,872814,羽玺新材,0.14,493814987.16,-23.4605477788,,11248416.36,-76.3069642465,,6.21,2.54,0.69450390878,17.3780249691,,2025-12-31,20221231,2022
102,839010,延安医药,0.44,323071378.25,-4.7630827429,-10.5955,56665585.51,7.5862682163,76.1516,3.79,10.44,0.995457718976,51.0751304073,,2025-12-31,20221231,2022
103,830978,先临三维,0.05,768079863.07,35.34014524,9.9669,17326775.69,-70.4415522331,231.7732,2.78,2.25,0.501297675427,65.1092860619,,2025-12-31,20221231,2022
104,300500,启迪设计,0.14,1898119826.77,-17.2405270089,123.1097,23594712.3,-89.69,-280.4634,8.924865723739,1.63,0.072310113135,19.4097073259,工程咨询服务Ⅱ,2025-12-31,20221231,2022
105,874885,鑫巨宏,0.54,150554808.62,,,19783108.06,,,9.003616460455,26.07,0.10953708262,34.4714576278,,2025-12-30,20221231,2022
106,874865,森峰激光,1.75,989850957.9,17.0251100773,6.3503,99496831.63,47.0952308853,-42.4993,5.037966280877,40.54,3.85738598614,33.6447422162,,2025-12-30,20221231,2022
107,874821,易事达,,310033053.57,,,66436417.52,,,5.458393104,50.9,2.323527194,34.4460833967,,2025-12-30,20221231,2022
